aacc.edu,65.61.162.206
ewubd.edu,27.147.131.42
flinders.edu.au,129.96.88.52
fullerton.edu,137.151.127.120
fullsail.edu,52.201.25.76
green.edu.bd,143.95.238.63
gru.edu,158.93.191.150
hallmarkuniversity.edu,50.84.77.14
holmes.edu.au,119.31.231.42
hotelschool.com.au,199.59.243.120
hstu.ac.bd,142.4.31.132
ibaisuniv.edu.bd,202.4.96.55
icu-edu.org,64.202.102.155
iiuc.ac.bd,173.254.43.190
irsc.edu,64.56.91.3
iu.ac.bd,198.15.89.218
iub.edu.bd,216.239.32.21
iubat.edu,108.179.242.18
iutoic-dhaka.edu,163.47.37.212
jkkniu.edu.bd,192.185.171.2
jnu.ac.bd,67.20.114.138
juniv.edu,192.163.202.2
keiseruniversity.edu,63.241.236.11
ku.ac.bd,184.107.100.66
kuet.ac.bd,103.74.84.13
laverne.edu,50.57.21.143
lesley.edu,198.61.146.106
lus.ac.bd,203.76.106.74
manarat.ac.bd,162.210.102.36
mbstu.ac.bd,198.23.213.90
metrouni.edu.bd,192.185.71.127
mist.ac.bd,61.247.189.233
moreheadstate.edu,52.3.49.184
msbcollege.edu,72.164.209.79
ndus.edu,216.147.167.67
neub.edu.bd,107.154.161.56
njcu.edu,70.32.90.240
nstu.edu.bd,192.185.182.158
nu.edu.bd,202.51.179.35
nub.ac.bd,198.27.88.99
presidency.edu.bd,118.179.168.210
pstu.ac.bd,178.63.105.194
pub.ac.bd,69.13.47.101
puc.ac.bd,50.28.8.58
pust.ac.bd,67.225.129.89
queensuniversity.edu.bd,119.81.58.1
ru.ac.bd,180.211.185.196
ruet.ac.bd,103.48.16.81
sau.ac.bd,107.154.155.9
sec.ac.bd,107.154.167.90
siu.edu.bd,37.61.238.8
sjrstate.edu,96.45.126.231
sjsu.edu,130.65.255.101
southern.edu.bd,103.195.140.106
spcollege.edu,66.194.105.36
stamforduniversity.edu.bd,198.38.83.4
stratford.edu,23.253.164.193
sunymaritime.edu,192.195.176.250
swri.edu,129.162.232.76
tcnj.edu,159.91.15.188
tesu.edu,209.41.186.157
touro.edu,50.57.205.190
uap-bd.edu,162.210.102.38
uco.edu,192.206.65.23
udemm.edu.ar,192.0.1.4
udesa.edu.ar,45.55.101.90
ufasta.edu.ar,131.255.4.226
uhd.edu,216.145.163.229
uits.edu.bd,66.147.244.220
uiu.ac.bd,210.4.73.233
ulab.edu.bd,104.31.91.76
um.edu.ar,200.51.41.139
umaza.edu.ar,158.69.189.204
umsa.edu.ar,181.28.235.219
unam.edu.ar,192.100.186.11
uoda.edu.bd,45.35.82.34
uopeople.edu,104.196.135.252
ustc.ac.bd,131.153.6.123
valenciacollege.edu,199.87.225.219
washjeff.edu,216.146.46.11
wub.edu,182.50.148.128
yti.edu,208.73.72.72
